Monument Location,Monument,Site(s) Named,Site(s) Named,Gregorian Year,Reference,Notes,Likely Dupli-cates
Ixkun,Stela 02,,,780,Kennet et al. 2012,,
Ixkun,Stela 02,Ucanal,,780,Kennet et al. 2012,,
Ixlu,Altar 01,,,880,Kennet et al. 2012,,
La Amelia,"HS 01, Block 04",,,805,Kennet et al. 2012,,
La Mar,Stela 03,,,794,Kennet et al. 2012,,
La Mar,Stela 03,,,794,Kennet et al. 2012,,
La Pasadita,Lintel 01,,,759,Kennet et al. 2012,,
Laxtunich,Lintel 01,,,784,Kennet et al. 2012,,
Laxtunich,Lintel 01,,,784,Kennet et al. 2012,,
Laxtunich,Lintel 01,,,784,Kennet et al. 2012,,1
Machaquila,Stela 02,,,801,Kennet et al. 2012,,
Naranjo,Stela 28,,,720,Kennet et al. 2012,No event date was provided. The monument date was used instead.,
Naranjo,Stela 35,,,801,Kennet et al. 2012,No event date was provided. The monument date was used instead.,
Naranjo,Stela 22,,,693,Kennet et al. 2012,,
Naranjo,Stela 22,,,693,Kennet et al. 2012,,1
Naranjo,Stela 22,,,694,Kennet et al. 2012,,
Naranjo,Stela 22,,,694,Kennet et al. 2012,,
Naranjo,Stela 22,,,694,Kennet et al. 2012,,1
Naranjo,Stela 22,Mutal (Tikal),,695,Kennet et al. 2012,,
Naranjo,Stela 22,Mutal (Tikal),,695,Kennet et al. 2012,,1
Naranjo,Stela 22,Ucanal,,696,Kennet et al. 2012,,
Naranjo,Stela 22,Mutal (Tikal),,699,Kennet et al. 2012,,
Naranjo,Stela 24,,,699,Kennet et al. 2012,,
Naranjo,Stela 23,Yaxha,,710,Kennet et al. 2012,,
Naranjo,Stela 23,,,711,Kennet et al. 2012,,
Naranjo,Stela 02,,,713,Kennet et al. 2012,,
Naranjo,Stela 30,,,715,Kennet et al. 2012,,
Naranjo,Stela 13,,,775,Kennet et al. 2012,,
Naranjo,Stela 12,Yaxha,,799,Kennet et al. 2012,,
Naranjo,Stela 12,,,799,Kennet et al. 2012,,1
Naranjo,Stela 12,,,799,Kennet et al. 2012,,
Naranjo,Stela 12,,,799,Kennet et al. 2012,,
Naranjo,Stela 12,Yaxha,,800,Kennet et al. 2012,,
Naranjo,Stela 12,,,800,Kennet et al. 2012,,
Naranjo,Stela 11,,,597,Kennet et al. 2012,,
Palenque,House C HS,,,599,Kennet et al. 2012,,
Palenque,"Tablet, east panel",,,611,Kennet et al. 2012,,
Palenque,House C HS,Mutal (Tikal),,659,Kennet et al. 2012,,
Palenque,"Tablet, middle panel",,,672,Kennet et al. 2012,,
Palenque,Tablet of the Slaves,,,724,Kennet et al. 2012,,
Palenque,Tablet of the Slaves,Kinal,,725,Kennet et al. 2012,,
Palenque,Tablet of the Slaves,Kol,,729,Kennet et al. 2012,,
Palenque,Pier A,,,690,Kennet et al. 2012,No event date was provided. The monument date was used instead.,
Palenque,Tablet of Temple 17,,,688,Kennet et al. 2012,No event date was provided. The monument date was used instead.,
Piedras Negras,Lintel 04,,,631,Kennet et al. 2012,,
Piedras Negras,Throne 01,,,780,Kennet et al. 2012,,
Piedras Negras,Throne 01,,,781,Kennet et al. 2012,,
Piedras Negras,Stela 12,,,788,Kennet et al. 2012,,
Quirigua,Monument 23/Altar O',,,787,Kennet et al. 2012,,
Quirigua,Monument 23/Altar O',,,790,Kennet et al. 2012,,
Seibal,Tablet 04,,,746,Kennet et al. 2012,,
Tamarindito,"HS 02, Step 3",,,761,Kennet et al. 2012,,
Tamarindito,"HS 02, Step 3",,,761,Kennet et al. 2012,,
Tikal,Stela 04,,,379,Kennet et al. 2012,,
Tikal,Stela 18,,,396,Kennet et al. 2012,,
Tikal,Seated Figure from Str. 3D-43,,,406,Kennet et al. 2012,,
Tikal,Ballcourt marker,,,414,Kennet et al. 2012,,
Tikal,Stela 01,,,451,Kennet et al. 2012,,
Tikal,Temple I Lintel 03,,,696,Kennet et al. 2012,,
Tikal,Temple I Lintel 03,Calakmul,,696,Kennet et al. 2012,,1
Tikal,Temple IV Lintel 03,Yaxha,,744,Kennet et al. 2012,,
Toninö,Monument 141,,,699,Kennet et al. 2012,No event date was provided. The monument date was used instead.,
Tortuguero,Monument 06 (T Shaped Tablet),,,644,Kennet et al. 2012,,
Tortuguero,Monument 06 (T Shaped Tablet),,,645,Kennet et al. 2012,,
Tortuguero,Monument 06 (T Shaped Tablet),Yompi,,649,Kennet et al. 2012,,
Tortuguero,Monument 8 (Sarcophag us),,,650,Kennet et al. 2012,,
Tortuguero,Monument 8 (Sarcophag us),,,650,Kennet et al. 2012,,
Tortuguero,Monument 06 (T Shaped Tablet),,,650,Kennet et al. 2012,,
Tortuguero,Monument 8 (Sarcophag us),,,650,Kennet et al. 2012,,1
Tortuguero,Jade Earflare,,,656,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 1",,,513,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 1",,,662,Kennet et al. 2012,,
Yaxchilan,Lintel 46,,,662,Kennet et al. 2012,,1
Yaxchilan,Stela 20,,,662,Kennet et al. 2012,,1
Yaxchilan,"HS 03, Step 1",,,677,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 1",,,677,Kennet et al. 2012,,1
Yaxchilan,Stela 19,,,681,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 3",,,681,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 3",,,681,Kennet et al. 2012,,
Yaxchilan,Lintel 45,,,681,Kennet et al. 2012,,1
Yaxchilan,Stela 15,,,681,Kennet et al. 2012,,1
Yaxchilan,"HS 03, Step 3",,,682,Kennet et al. 2012,,
Yaxchilan,Lintel 44,,,690,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 6",,,698,Kennet et al. 2012,,
Yaxchilan,"HS 03, Step 2",,,708,Kennet et al. 2012,,
Yaxchilan,Stela 18,,,729,Kennet et al. 2012,,
Yaxchilan,"HS 04, Step 3",,,752,Kennet et al. 2012,,
Yaxchilan,"HS 04, Step 3",,,752,Kennet et al. 2012,,1
Yaxchilan,Lintel 16,,,752,Kennet et al. 2012,,1
Yaxchilan,Lintel 08,,,755,Kennet et al. 2012,,
Yaxchilan,HS 05,,,797,Kennet et al. 2012,,
Yaxchilan,HS 05,,,799,Kennet et al. 2012,,
Yaxchilan,HS 05,,,800,Kennet et al. 2012,,
Yaxchilan,Lintel 10,,,808,Kennet et al. 2012,,
,,Tikal,Caracol,556,Chase and Chase 2003,,
,,Caracol,Tikal,562,Chase and Chase 2003,,
,,Yaxchilan,Lacanha,564,Chase and Chase 2003,,
,,Chinikiha,,573,Hassig 1992,,
,,Yaxchilan,,594,Hassig 1992,,
,,Altun Ha,,596,Hassig 1992,,
,,Caracol,Naranjo,626,Chase and Chase 2003,,
,,Caracol,Naranjo,627,Chase and Chase 2003,,
,,Caracol,Naranjo,631,Chase and Chase 2003,,
,,Caracol,Naranjo,636,Chase and Chase 2003,,
,,Tortuguero,,644,Hassig 1992,,
,,Tortuguero,,645,Hassig 1992,,
,,Yaxchilan,,647,Hassig 1992,,
,,Tortuguero,,649,Hassig 1992,,
,,Tortuguero,,649,Hassig 1992,,
,,Tortuguero,,649,Hassig 1992,,
,,Tortuguero,,649,Hassig 1992,,
,,Tortuguero,,652,Hassig 1992,,
,,Palenque,,654,Hassig 1992,,
,,Palenque,Site Q,654,Chase and Chase 2003,,
,,Palenque,,659,Hassig 1992,,
,,Palenque,Yaxchilan,659,Chase and Chase 2003,,
,,Piedras Negras,,662,Hassig 1992,,
,,Dos Pilas,Machaquila,664,Chase and Chase 2003,,
,,Dos Pilas,,664,Hassig 1992,,
,,Piedras Negras,,669,Hassig 1992,,
,,Dos Pilas,,670,Hassig 1992,,
,,Dos Pilas,Tikal,670,Chase and Chase 2003,,
,,Tikal,,671,Hassig 1992,,
,,Dos Pilas,,672,Hassig 1992,,
,,Tikal,Dos Pilas,672,Chase and Chase 2003,,
,,Dos Pilas,,677,Hassig 1992,,
,,Site Q,Tikal,677,Chase and Chase 2003,,
,,Naranjo,Caracol,680,Chase and Chase 2003,,
,,Yaxchilan,,681,Hassig 1992,,
,,Yaxchilan,,681,Hassig 1992,,
,,Yaxchilan,,689,Hassig 1992,,
,,Naranjo,Ucanal,693,Chase and Chase 2003,,
,,Naranjo,Tikal,695,Chase and Chase 2003,,
,,Tikal,Site Q,695,Chase and Chase 2003,,
,,Tikal,El Peru,695,Schele and Matthews 1991,,
,,Dos Pilas,,697,Hassig 1992,,
,,Naranjo,Ucanal,698,Schele and Matthews 1991,,
,,Yaxchilan,,701,Hassig 1992,,
,,Dos Pilas,Tikal,705,Chase and Chase 2003,,
,,Tonina,Palenque,711,Schele and Matthews 1991,,
,,Tonina,Palenque,711,Chase and Chase 2003,,
,,Altar de Sacrificios,,713,Hassig 1992,,
,,Yaxchilan,,713,Hassig 1992,,
,,Palenque,,723,Hassig 1992,,
,,Yaxchilan,,727,Hassig 1992,,
,,Yaxchilan,,729,Hassig 1992,,
,,Palenque,,729,Hassig 1992,,
,,Yaxchilan,Lacanha,729,Chase and Chase 2003,,
,,Yaxchilan,,732,Hassig 1992,,
,,Dos Pilas,Seibal,735,Hassig 1992,,
,,Dos Pilas,Seibal,735,Chase and Chase 2003,,
,,Quirigua,Copan,738,Hassig 1992,,
,,Quirigua,Copan,738,Chase and Chase 2003,,
,,Bonampak,,740,Hassig 1992,,
,,Aguateca,Cancuen,741,Chase and Chase 2003,,
,,Machaquila,Motul de San Jose,741,Chase and Chase 2003,,
,,Tikal,Yaxha,743,Chase and Chase 2003,,
,,Tikal,Motul de San Jose,744,Chase and Chase 2003,,
,,Dos Pilas,Yaxchilan,751,Chase and Chase 2003,,
,,Yaxchilan,,752,Hassig 1992,,
,,Yaxchilan,,755,Hassig 1992,,
,,Aguateca,El Chorro,771,Chase and Chase 2003,,
,,La Mar,Pomona,774,Hassig 1992,,
,,La Mar,Pomona,774,Chase and Chase 2003,,
,,Ixkun,,779,Hassig 1992,,
,,,,780,Hassig 1992,,
,,,,781,Hassig 1992,,
,,,Yaxchilan,782,Schele and Matthews 1991,,
,,Yaxchilan subsidiary?,,783,Hassig 1992,,
,,Bonampak,,787,Hassig 1992,,
,,Bonampak,,787,Hassig 1992,,
,,Piedras Negras,,787,Hassig 1992,,
,,Piedras Negras,Pomona,787,Chase and Chase 2003,,
,,La Mar,,792,Hassig 1992,,
,,Copan,,793,Hassig 1992,,
,,La Mar,,794,Hassig 1992,,
,,Piedras Negras,Pomona,794,Chase and Chase 2003,,
,,Yaxchilan,,796,Hassig 1992,,
,,Yaxchilan,,796,Hassig 1992,,
,,Yaxha captures Bat Jaguar,,796,Hassig 1992,,
,,Yaxchilan,,798,Hassig 1992,,
,,Yaxchilan,,798,Hassig 1992,,
,,Yaxchilan,,798,Hassig 1992,,
,,Yaxchilan,,799,Hassig 1992,,
,,Yaxchilan,,800,Hassig 1992,,
,,Yaxchilan,,800,Hassig 1992,,
,,Yaxchilan,,800,Hassig 1992,,
,,Caracol,Ucanal,800,Chase and Chase 2003,,
,,Yaxchilan,,808,Hassig 1992,,
,,Caracol,Tikal,819,Chase and Chase 2003,,
